"","","","","",""
"19P31A0307","R1931031","DYNAMICS OF MACHINERY","18","B","3"
"19P31A0307","R1931033","MECHANICAL MEASUREMENTS & METROLOGY","17","ABSENT","0"
"19P31A0307","R1931035","IC ENGINES & GAS TURBINES","18","ABSENT","0"
"19P31A0311","R1931031","DYNAMICS OF MACHINERY","18","F","0"
"19P31A0311","R1931033","MECHANICAL MEASUREMENTS & METROLOGY","19","F","0"
"19P31A0311","R1931035","IC ENGINES & GAS TURBINES","18","F","0"
"19P31A0412","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","12","F","0"
"19P31A0445","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","13","D","3"
"19P31A0453","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","15","D","3"
"19P31A0479","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","11","D","3"
"19P31A0479","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","10","D","3"
"19P31A0492","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","15","D","3"
"19P31A04A2","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","14","F","0"
"19P31A04A6","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","16","F","0"
"19P31A04B6","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","15","F","0"
"19P31A04B6","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","12","D","3"
"19P31A04B6","R1931043","DIGITAL COMMUNICATIONS","12","F","0"
"19P31A04B6","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","16","D","3"
"19P31A04B6","R193104C","DATASTRUCTURES AND ALGORITHMS","14","F","0"
"19P31A04C2","R1931043","DIGITAL COMMUNICATIONS","14","F","0"
"19P31A04C3","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","14","D","3"
"19P31A04D0","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","13","F","0"
"19P31A04D0","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","10","F","0"
"19P31A04D0","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","13","F","0"
"19P31A04D0","R193104C","DATASTRUCTURES AND ALGORITHMS","13","ABSENT","0"
"19P31A04E5","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","10","F","0"
"19P31A04E5","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","11","F","0"
"19P31A04E5","R193104C","DATASTRUCTURES AND ALGORITHMS","13","F","0"
"19P31A04F0","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","13","D","3"
"19P31A04G1","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","13","D","3"
"19P31A04G1","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","12","F","0"
"19P31A04G1","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","12","D","3"
"19P31A04I2","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","12","ABSENT","0"
"19P31A04I2","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","12","ABSENT","0"
"19P31A04I2","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","14","ABSENT","0"
"19P31A04I5","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","10","ABSENT","0"
"19P31A04I5","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","12","ABSENT","0"
"19P31A04J3","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","11","F","0"
"19P31A04J3","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","14","F","0"
"19P31A04K4","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","10","F","0"
"19P31A04L5","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","12","F","0"
"19P31A04L5","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","14","D","3"
"19P31A04L5","R193104C","DATASTRUCTURES AND ALGORITHMS","13","D","3"
"19P31A04M2","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","11","F","0"
"19P31A04M2","R1931043","DIGITAL COMMUNICATIONS","16","F","0"
"19P31A04M2","R193104C","DATASTRUCTURES AND ALGORITHMS","15","F","0"
"19P31A04N6","R1931041","LINEAR INTEGRATED CIRCUITS AND APPLICATI","13","D","3"
"19P31A04N6","R1931042","MICROPROCESSOR AND MICROCONTROLLERS","11","D","3"
"19P31A04N6","R1931043","DIGITAL COMMUNICATIONS","14","F","0"
"19P31A04N6","R1931044","ELECTRONIC MEASUREMENTS & INSTRUMENTATIO","13","D","3"
"19P31A04N6","R193104C","DATASTRUCTURES AND ALGORITHMS","12","D","3"
"19P31A0548","R1931052","COMPUTER NETWORKS","14","C","3"
"19P31A0565","R1931052","COMPUTER NETWORKS","18","C","3"
"19P31A0565","R1931053","COMPILER DESIGN","15","C","3"
"19P31A0565","R1931054","ARTIFICIAL INTELLIGENCE","20","C","3"
"19P31A0565","R193105C","ADVANCED DATA STRUCTURES","13","D","3"
"19P31A0573","R193105C","ADVANCED DATA STRUCTURES","15","ABSENT","0"
"19P31A0596","R1931051","DATA WAREHOUSING AND DATA MINING","12","F","0"
"19P31A0596","R1931052","COMPUTER NETWORKS","10","F","0"
"19P31A0596","R1931054","ARTIFICIAL INTELLIGENCE","17","F","0"
"19P31A05B0","R1931052","COMPUTER NETWORKS","18","ABSENT","0"
"19P31A05B0","R1931053","COMPILER DESIGN","21","ABSENT","0"
"19P31A05B0","R193105C","ADVANCED DATA STRUCTURES","15","D","3"
"19P31A05C3","R193105C","ADVANCED DATA STRUCTURES","12","F","0"
"19P31A1219","R1931122","COMPUTER NETWORKS","12","ABSENT","0"
"19P31A1219","R1931124","DESIGN AND ANALYSIS OF ALGORITHMS","15","F","0"
"19P31A1230","R1931124","DESIGN AND ANALYSIS OF ALGORITHMS","16","F","0"
"19P35A0110","R1631013","STRUCTURAL ANALYSIS -II","16","F","0"
"19P35A0110","R1631015","TRANSPORTATION ENGINEERING - II","16","F","0"
"19P35A0202","R1631024","PULSE & DIGITAL CIRCUITS","11","F","0"
"19P35A0224","R1631025","POWER ELECTRONICS","18","F","0"
"19P35A0290","R1631024","PULSE & DIGITAL CIRCUITS","14","D","3"
"19P35A0381","R1631033","DESIGN OF MACHINE MEMBERS-II","22","F","0"
"19P35A0405","R1631042","LINEAR I C APPLICATIONS","15","F","0"
"19P35A0405","R1631043","DIGITAL I C APPLICATIONS","12","ABSENT","0"
"19P35A0422","R1631043","DIGITAL I C APPLICATIONS","11","F","0"
"19P35A0426","R1631043","DIGITAL I C APPLICATIONS","15","ABSENT","0"
"19P35A0426","R1631044","DIGITAL COMMUNICATIONS","14","F","0"
"19P35A0426","R1631045","ANTENNA AND WAVE PROPAGATION","16","ABSENT","0"
"20P31A0101","R203105L","OPERATING SYSTEMS","20","D","3"
"20P31A0105","R203105L","OPERATING SYSTEMS","16","E","3"
"20P31A0106","R2031013","GEOTECHNICAL ENGINEERING-1","10","E","3"
"20P31A0107","R2031011","STRUCTURAL ANALYSIS","18","C","3"
"20P31A0107","R2031013","GEOTECHNICAL ENGINEERING-1","15","E","3"
"20P31A0108","R203105L","OPERATING SYSTEMS","11","F","0"
"20P31A0110","R2031011","STRUCTURAL ANALYSIS","10","ABSENT","0"
"20P31A0110","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","6","ABSENT","0"
"20P31A0110","R2031013","GEOTECHNICAL ENGINEERING-1","13","ABSENT","0"
"20P31A0110","R2031014","LAB SURVEY CAMP (FIELD WORK)","9","ABSENT","0"
"20P31A0110","R2031015","GEOTECHNICAL ENGINEERING LAB","8","ABSENT","0"
"20P31A0110","R2031016","SKILL ADVANCED COURSE/ SOFT SKILL COURSE","0","C","2"
"20P31A0110","R2031017","(AICTE SUGGESTED) PROFESSIONAL ETHICS AN","27","COMPLE","0"
"20P31A0110","R2031018","SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF","0","C","1.5"
"20P31A0110","R2031019","COMMUNITY SERVICE PROJECT","0","B","4"
"20P31A0110","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","15","ABSENT","0"
"20P31A0110","R203101J","ENVIRONMENTALMANAGEMENT","16","ABSENT","0"
"20P31A0111","R2031011","STRUCTURAL ANALYSIS","10","F","0"
"20P31A0111","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","4","F","0"
"20P31A0111","R2031013","GEOTECHNICAL ENGINEERING-1","8","F","0"
"20P31A0111","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","8","F","0"
"20P31A0111","R203105L","OPERATING SYSTEMS","9","ABSENT","0"
"20P31A0112","R203105L","OPERATING SYSTEMS","21","E","3"
"20P31A0113","R2031011","STRUCTURAL ANALYSIS","13","F","0"
"20P31A0113","R2031013","GEOTECHNICAL ENGINEERING-1","11","ABSENT","0"
"20P31A0113","R203105L","OPERATING SYSTEMS","15","ABSENT","0"
"20P31A0116","R203105L","OPERATING SYSTEMS","19","E","3"
"20P31A0118","R2031011","STRUCTURAL ANALYSIS","10","F","0"
"20P31A0118","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","5","F","0"
"20P31A0118","R2031013","GEOTECHNICAL ENGINEERING-1","7","F","0"
"20P31A0118","R203105L","OPERATING SYSTEMS","14","F","0"
"20P31A0120","R2031011","STRUCTURAL ANALYSIS","17","F","0"
"20P31A0120","R2031013","GEOTECHNICAL ENGINEERING-1","9","F","0"
"20P31A0120","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","12","F","0"
"20P31A0120","R203105L","OPERATING SYSTEMS","14","F","0"
"20P31A0123","R2031013","GEOTECHNICAL ENGINEERING-1","11","E","3"
"20P31A0127","R2031011","STRUCTURAL ANALYSIS","14","F","0"
"20P31A0127","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","6","F","0"
"20P31A0127","R2031013","GEOTECHNICAL ENGINEERING-1","9","F","0"
"20P31A0127","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","14","F","0"
"20P31A0127","R203105L","OPERATING SYSTEMS","11","F","0"
"20P31A0129","R2031011","STRUCTURAL ANALYSIS","12","F","0"
"20P31A0129","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","1","F","0"
"20P31A0129","R2031013","GEOTECHNICAL ENGINEERING-1","13","F","0"
"20P31A0129","R2031014","LAB SURVEY CAMP (FIELD WORK)","0","ABSENT","0"
"20P31A0129","R2031015","GEOTECHNICAL ENGINEERING LAB","0","ABSENT","0"
"20P31A0129","R2031016","SKILL ADVANCED COURSE/ SOFT SKILL COURSE","0","C","2"
"20P31A0129","R2031017","(AICTE SUGGESTED) PROFESSIONAL ETHICS AN","26","COMPLE","0"
"20P31A0129","R2031018","SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF","0","D","1.5"
"20P31A0129","R2031019","COMMUNITY SERVICE PROJECT","0","B","4"
"20P31A0129","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","13","E","3"
"20P31A0129","R203101J","ENVIRONMENTALMANAGEMENT","17","E","3"
"20P31A0135","R203105L","OPERATING SYSTEMS","20","D","3"
"20P31A0138","R203105L","OPERATING SYSTEMS","16","F","0"
"20P31A0139","R2031011","STRUCTURAL ANALYSIS","8","F","0"
"20P31A0139","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","13","D","3"
"20P31A0139","R203105L","OPERATING SYSTEMS","16","F","0"
"20P31A0141","R2031011","STRUCTURAL ANALYSIS","12","F","0"
"20P31A0141","R2031013","GEOTECHNICAL ENGINEERING-1","11","F","0"
"20P31A0141","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","14","F","0"
"20P31A0141","R203105L","OPERATING SYSTEMS","13","F","0"
"20P31A0144","R203105L","OPERATING SYSTEMS","14","F","0"
"20P31A0146","R2031011","STRUCTURAL ANALYSIS","8","F","0"
"20P31A0146","R2031013","GEOTECHNICAL ENGINEERING-1","9","F","0"
"20P31A0146","R203105L","OPERATING SYSTEMS","12","F","0"
"20P31A0148","R203105L","OPERATING SYSTEMS","14","F","0"
"20P31A0149","R2031011","STRUCTURAL ANALYSIS","12","E","3"
"20P31A0149","R2031013","GEOTECHNICAL ENGINEERING-1","12","E","3"
"20P31A0149","R203105L","OPERATING SYSTEMS","13","F","0"
"20P31A0151","R2031011","STRUCTURAL ANALYSIS","7","F","0"
"20P31A0151","R203105L","OPERATING SYSTEMS","12","F","0"
"20P31A0152","R203105L","OPERATING SYSTEMS","16","F","0"
"20P31A0158","R2031013","GEOTECHNICAL ENGINEERING-1","10","F","0"
"20P31A0158","R203105L","OPERATING SYSTEMS","18","F","0"
"20P31A0159","R2031011","STRUCTURAL ANALYSIS","8","F","0"
"20P31A0159","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","1","ABSENT","0"
"20P31A0159","R2031013","GEOTECHNICAL ENGINEERING-1","11","ABSENT","0"
"20P31A0159","R2031014","LAB SURVEY CAMP (FIELD WORK)","9","ABSENT","0"
"20P31A0159","R2031015","GEOTECHNICAL ENGINEERING LAB","8","ABSENT","0"
"20P31A0159","R2031016","SKILL ADVANCED COURSE/ SOFT SKILL COURSE","0","C","2"
"20P31A0159","R2031017","(AICTE SUGGESTED) PROFESSIONAL ETHICS AN","25","COMPLE","0"
"20P31A0159","R2031018","SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF","0","A","1.5"
"20P31A0159","R2031019","COMMUNITY SERVICE PROJECT","0","B","4"
"20P31A0159","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","12","ABSENT","0"
"20P31A0159","R203101J","ENVIRONMENTALMANAGEMENT","13","ABSENT","0"
"20P31A0160","R2031013","GEOTECHNICAL ENGINEERING-1","8","F","0"
"20P31A0161","R203105L","OPERATING SYSTEMS","17","E","3"
"20P31A0162","R2031012","DESIGN AND DRAWING OF REINFORCED CONCRET","6","F","0"
"20P31A0162","R2031013","GEOTECHNICAL ENGINEERING-1","9","F","0"
"20P31A0162","R203105L","OPERATING SYSTEMS","13","F","0"
"20P31A0165","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","14","E","3"
"20P31A0165","R203105L","OPERATING SYSTEMS","17","F","0"
"20P31A0167","R203101A","CONSTRUCTION TECHNOLOGY &MANAGEMENT","16","E","3"
"20P31A0168","R203105L","OPERATING SYSTEMS","18","F","0"
"20P31A0170","R2031013","GEOTECHNICAL ENGINEERING-1","13","E","3"
"20P31A0173","R2031011","STRUCTURAL ANALYSIS","15","E","3"
"20P31A0173","R203105L","OPERATING SYSTEMS","12","F","0"
"20P31A0201","R2031021","POWER SYSTEMS-II","14","F","0"
"20P31A0201","R2031023","CONTROL SYSTEMS","16","F","0"
"20P31A0201","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","13","F","0"
"20P31A0202","R203102B","UTILIZATION OF ELECTRICAL ENERGY","20","E","3"
"20P31A0202","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","F","0"
"20P31A0203","R2031023","CONTROL SYSTEMS","22","F","0"
"20P31A0204","R2031022","POWER ELECTRONICS","23","C","3"
"20P31A0206","R2031021","POWER SYSTEMS-II","9","F","0"
"20P31A0206","R2031022","POWER ELECTRONICS","18","F","0"
"20P31A0206","R2031023","CONTROL SYSTEMS","18","F","0"
"20P31A0208","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","11","E","3"
"20P31A0212","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","15","D","3"
"20P31A0215","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","19","D","3"
"20P31A0221","R2031022","POWER ELECTRONICS","16","F","0"
"20P31A0221","R2031023","CONTROL SYSTEMS","20","F","0"
"20P31A0221","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","F","0"
"20P31A0221","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","14","F","0"
"20P31A0223","R2031021","POWER SYSTEMS-II","13","E","3"
"20P31A0223","R2031023","CONTROL SYSTEMS","18","F","0"
"20P31A0223","R203102B","UTILIZATION OF ELECTRICAL ENERGY","21","E","3"
"20P31A0224","R2031023","CONTROL SYSTEMS","21","D","3"
"20P31A0225","R2031021","POWER SYSTEMS-II","16","D","3"
"20P31A0225","R2031023","CONTROL SYSTEMS","19","E","3"
"20P31A0225","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","F","0"
"20P31A0225","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","16","E","3"
"20P31A0228","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","19","E","3"
"20P31A0229","R2031022","POWER ELECTRONICS","17","E","3"
"20P31A0230","R2031022","POWER ELECTRONICS","14","F","0"
"20P31A0231","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","F","0"
"20P31A0232","R2031021","POWER SYSTEMS-II","11","F","0"
"20P31A0232","R2031022","POWER ELECTRONICS","13","F","0"
"20P31A0232","R2031023","CONTROL SYSTEMS","14","F","0"
"20P31A0232","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","8","F","0"
"20P31A0233","R2031022","POWER ELECTRONICS","20","D","3"
"20P31A0233","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","16","D","3"
"20P31A0237","R2031022","POWER ELECTRONICS","17","F","0"
"20P31A0237","R2031023","CONTROL SYSTEMS","18","F","0"
"20P31A0237","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","11","F","0"
"20P31A0238","R2031023","CONTROL SYSTEMS","21","C","3"
"20P31A0238","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","19","D","3"
"20P31A0239","R2031023","CONTROL SYSTEMS","18","C","3"
"20P31A0240","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","19","F","0"
"20P31A0246","R2031021","POWER SYSTEMS-II","18","F","0"
"20P31A0246","R2031023","CONTROL SYSTEMS","21","F","0"
"20P31A0246","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","F","0"
"20P31A0248","R2031021","POWER SYSTEMS-II","17","F","0"
"20P31A0248","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","F","0"
"20P31A0248","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","18","D","3"
"20P31A0250","R2031022","POWER ELECTRONICS","20","F","0"
"20P31A0250","R2031023","CONTROL SYSTEMS","15","F","0"
"20P31A0250","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","15","F","0"
"20P31A0252","R2031021","POWER SYSTEMS-II","15","ABSENT","0"
"20P31A0252","R2031022","POWER ELECTRONICS","19","E","3"
"20P31A0252","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","13","ABSENT","0"
"20P31A0253","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","18","E","3"
"20P31A0254","R2031021","POWER SYSTEMS-II","20","F","0"
"20P31A0254","R2031022","POWER ELECTRONICS","19","E","3"
"20P31A0254","R2031023","CONTROL SYSTEMS","19","F","0"
"20P31A0254","R203102B","UTILIZATION OF ELECTRICAL ENERGY","20","F","0"
"20P31A0254","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","F","0"
"20P31A0262","R2031022","POWER ELECTRONICS","16","E","3"
"20P31A0262","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","16","F","0"
"20P31A0263","R2031021","POWER SYSTEMS-II","17","F","0"
"20P31A0263","R2031022","POWER ELECTRONICS","20","D","3"
"20P31A0263","R2031023","CONTROL SYSTEMS","21","F","0"
"20P31A0263","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","E","3"
"20P31A0264","R203102B","UTILIZATION OF ELECTRICAL ENERGY","25","D","3"
"20P31A0266","R2031023","CONTROL SYSTEMS","18","D","3"
"20P31A0266","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","15","E","3"
"20P31A0270","R2031021","POWER SYSTEMS-II","18","F","0"
"20P31A0270","R2031022","POWER ELECTRONICS","17","F","0"
"20P31A0270","R2031023","CONTROL SYSTEMS","22","F","0"
"20P31A0270","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","F","0"
"20P31A0270","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","E","3"
"20P31A0272","R2031021","POWER SYSTEMS-II","16","F","0"
"20P31A0272","R2031022","POWER ELECTRONICS","16","F","0"
"20P31A0272","R2031023","CONTROL SYSTEMS","16","F","0"
"20P31A0272","R203102B","UTILIZATION OF ELECTRICAL ENERGY","18","F","0"
"20P31A0272","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","14","F","0"
"20P31A0280","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","E","3"
"20P31A0301","R2031031","THERMAL ENGINEERING-II","17","E","3"
"20P31A0302","R2031032","DESIGN OF MACHINE MEMBERS-I","20","F","0"
"20P31A0302","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","20","ABSENT","0"
"20P31A0302","R203103B","INDUSTRIAL ROBOTICS","20","ABSENT","0"
"20P31A0302","R203103H","OPERATIONS RESEARCH","15","F","0"
"20P31A0303","R2031031","THERMAL ENGINEERING-II","19","F","0"
"20P31A0303","R2031032","DESIGN OF MACHINE MEMBERS-I","17","ABSENT","0"
"20P31A0303","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","17","F","0"
"20P31A0303","R203103B","INDUSTRIAL ROBOTICS","20","F","0"
"20P31A0303","R203103H","OPERATIONS RESEARCH","15","F","0"
"20P31A0304","R2031031","THERMAL ENGINEERING-II","17","F","0"
"20P31A0304","R2031032","DESIGN OF MACHINE MEMBERS-I","14","F","0"
"20P31A0307","R203103B","INDUSTRIAL ROBOTICS","18","F","0"
"20P31A0309","R2031031","THERMAL ENGINEERING-II","19","E","3"
"20P31A0309","R2031032","DESIGN OF MACHINE MEMBERS-I","17","F","0"
"20P31A0310","R2031031","THERMAL ENGINEERING-II","20","F","0"
"20P31A0310","R2031032","DESIGN OF MACHINE MEMBERS-I","20","F","0"
"20P31A0310","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","20","F","0"
"20P31A0312","R2031031","THERMAL ENGINEERING-II","16","F","0"
"20P31A0312","R2031032","DESIGN OF MACHINE MEMBERS-I","16","F","0"
"20P31A0312","R203103B","INDUSTRIAL ROBOTICS","19","F","0"
"20P31A0314","R2031032","DESIGN OF MACHINE MEMBERS-I","19","F","0"
